x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
286	5.54388422035481e-05	0.000163398692810458	0	140	7	0	131	14	0.000105042016806723	0.000140056022408964	0	44	12	6.12745098039216e-05	0.000163398692810458	0	8.16993464052288e-05
287	2.63666072489602e-05	0.00017825311942959	0	152	12	0	138	11	6.68449197860963e-05	0.00017825311942959	0	53	10	1.22549019607843e-05	9.80392156862745e-05	0	0
288	7.58636788048553e-05	0.000163398692810458	0	144	10	0	130	12	0.000122549019607843	0.000163398692810458	8.16993464052288e-05	42	7	0.000105042016806723	0.000140056022408964	0	0.000140056022408964
289	2.72331154684096e-05	0.000217864923747277	0	130	10	0	130	4	0	0	0	48	9	8.16993464052288e-05	0.000217864923747277	0	0.000108932461873638
290	5.49613784907903e-05	0.000196078431372549	0	118	16	0	114	15	9.80392156862745e-05	0.000196078431372549	6.5359477124183e-05	48	11	6.68449197860963e-05	0.00017825311942959	0	8.9126559714795e-05
291	3.4041394335512e-05	0.000163398692810458	0	133	10	0	126	12	4.08496732026144e-05	8.16993464052288e-05	0	40	6	6.12745098039216e-05	0.000163398692810458	0	0
292	5.1062091503268e-05	0.000326797385620915	0	112	16	0	112	8	9.19117647058824e-05	0.000245098039215686	0	51	6	6.12745098039216e-05	0.000326797385620915	0	0
293	3.86215092097445e-05	0.000196078431372549	0	136	15	0	122	11	6.68449197860963e-05	0.00017825311942959	0	40	5	4.90196078431373e-05	0.000196078431372549	0	0
294	0	0	0	134	6	0	116	11	0	0	0	37	6	0	0	0	0
295	4.53885257806826e-05	0.000326797385620915	0	121	16	0	101	18	5.44662309368192e-05	0.000108932461873638	0	39	6	8.16993464052288e-05	0.000326797385620915	0	0
296	3.18156108597285e-05	0.000150829562594268	0	149	16	0	123	16	7.6593137254902e-05	0.000122549019607843	6.12745098039216e-05	42	13	1.88536953242836e-05	0.000150829562594268	0	0
297	0.000141806722689076	0.000326797385620915	0	135	10	0.000294117647058824	120	7	7.00280112044818e-05	0.000140056022408964	0	51	6	6.12745098039216e-05	0.000326797385620915	0	0.000163398692810458
298	0.000166802832244009	0.000367647058823529	0	134	8	0.000367647058823529	123	8	9.19117647058824e-05	0.000122549019607843	0	47	6	4.08496732026144e-05	0.000163398692810458	0	0
299	6.56512605042017e-05	0.000280112044817927	0	118	14	0	101	16	9.19117647058824e-05	0.000122549019607843	6.12745098039216e-05	40	7	0.000105042016806723	0.000280112044817927	0	0.000140056022408964
300	1.7020697167756e-05	0.000245098039215686	0	134	15	0	118	9	0	0	0	39	12	5.1062091503268e-05	0.000245098039215686	0	0.000163398692810458
301	5.68977591036415e-05	0.000280112044817927	0	124	21	0	112	7	0.000140056022408964	0.000280112044817927	0	39	4	3.06372549019608e-05	0.000245098039215686	0	0
302	4.87926652142338e-05	0.000245098039215686	0	106	14	0	112	9	5.44662309368192e-05	0.000108932461873638	0	41	4	9.19117647058824e-05	0.000245098039215686	0	0.000245098039215686
303	6.56512605042017e-05	0.000245098039215686	0	129	13	0	114	14	0.000105042016806723	0.000140056022408964	7.00280112044818e-05	39	4	9.19117647058824e-05	0.000245098039215686	0	0.000490196078431373
304	9.53028739406448e-05	0.000196078431372549	0	124	22	0.000133689839572193	109	19	0.000103199174406605	0.000154798761609907	5.15995872033024e-05	31	5	4.90196078431373e-05	0.000196078431372549	0	0.000196078431372549
305	6.88608776844071e-05	0.000392156862745098	0	117	13	0	114	10	0.00017156862745098	0.000392156862745098	0	44	7	3.50140056022409e-05	0.000140056022408964	0	0
306	2.85947712418301e-05	0.000196078431372549	0	131	9	0	101	12	6.12745098039216e-05	0.000163398692810458	0	43	5	2.45098039215686e-05	0.000196078431372549	0	0.000196078431372549
307	2.72331154684096e-05	0.000217864923747277	0	121	11	0	107	9	8.16993464052288e-05	0.000217864923747277	0	46	3	0	0	0	0
308	4.49346405228758e-05	0.000245098039215686	0	138	11	0	140	10	7.35294117647059e-05	0.000196078431372549	0	41	4	6.12745098039216e-05	0.000245098039215686	0	0.000245098039215686
309	7.48910675381263e-05	0.000326797385620915	0	130	10	0	104	9	8.16993464052288e-05	0.000217864923747277	0	47	6	0.00014297385620915	0.000326797385620915	0	0.000163398692810458
310	3.17719680464778e-05	0.000326797385620915	0	128	9	0	108	9	5.44662309368192e-05	0.000108932461873638	0	30	3	4.08496732026144e-05	0.000326797385620915	0	0
311	0.000348344465991525	0.000904977375565611	0	128	13	0.000904977375565611	101	14	8.75350140056022e-05	0.000140056022408964	0	39	7	5.25210084033613e-05	0.000140056022408964	0	0.000280112044817927
312	5.9572440087146e-05	0.000326797385620915	0	127	17	0	112	16	7.6593137254902e-05	0.000122549019607843	0	50	6	0.000102124183006536	0.000326797385620915	0	0
313	3.67647058823529e-05	9.80392156862745e-05	0	125	7	0	112	12	6.12745098039216e-05	8.16993464052288e-05	0	37	10	4.90196078431373e-05	9.80392156862745e-05	0	9.80392156862745e-05
314	0.000212294513765102	0.00053475935828877	0	129	11	0.00053475935828877	110	12	4.08496732026144e-05	8.16993464052288e-05	0	37	2	6.12745098039216e-05	0.000490196078431373	0	0
315	0.000105771475256769	0.000420168067226891	0	132	10	0	94	7	0.000210084033613445	0.000420168067226891	0	37	8	0.000107230392156863	0.000245098039215686	0	0
316	0.000174658538629127	0.000452488687782805	0	108	13	0.000452488687782805	106	12	4.08496732026144e-05	8.16993464052288e-05	0	30	4	3.06372549019608e-05	0.000245098039215686	0	0
317	3.06372549019608e-05	0.000163398692810458	0	125	13	0	104	8	3.06372549019608e-05	0.000122549019607843	0	34	6	6.12745098039216e-05	0.000163398692810458	0	0
318	5.1062091503268e-05	0.000245098039215686	0	100	8	0	97	8	9.19117647058824e-05	0.000122549019607843	0	37	4	6.12745098039216e-05	0.000245098039215686	0	0
319	0	0	0	119	11	0	109	2	0	0	0	32	1	0	0	0	0
320	5.78703703703704e-05	0.000326797385620915	0	99	13	0	97	8	9.19117647058824e-05	0.000122549019607843	0	39	3	8.16993464052288e-05	0.000326797385620915	0	0
321	5.52143934496876e-05	0.000280112044817927	0	100	9	0	99	13	0.000113122171945701	0.000226244343891403	7.54147812971342e-05	42	7	5.25210084033613e-05	0.000280112044817927	0	0
322	0.000361811391223156	0.000840336134453781	0	136	7	0.000840336134453781	101	8	6.12745098039216e-05	0.000245098039215686	0	42	2	0.000183823529411765	0.000490196078431373	0	0
323	0.00017156862745098	0.000392156862745098	0	91	15	0.000392156862745098	87	10	0.000122549019607843	0.000196078431372549	0	31	8	0	0	0	0.000122549019607843
324	0.000127087872185911	0.000326797385620915	0	134	9	0.000326797385620915	125	9	5.44662309368192e-05	0.000217864923747277	0	31	5	0	0	0	0
325	1.36165577342048e-05	0.000326797385620915	0	108	10	0	107	8	0	0	0	39	3	4.08496732026144e-05	0.000326797385620915	0	0
326	4.53885257806826e-05	0.000217864923747277	0	107	11	0	103	9	0.000136165577342048	0.000217864923747277	0	32	2	0	0	0	0
327	6.30252100840336e-05	0.000196078431372549	0	114	13	0	99	10	0.00017156862745098	0.000196078431372549	9.80392156862745e-05	36	7	1.75070028011204e-05	0.000140056022408964	0	0.000140056022408964
328	2.04248366013072e-05	0.000122549019607843	0	122	8	0	119	8	6.12745098039216e-05	0.000122549019607843	0	39	4	0	0	0	0
329	2.51906318082789e-05	0.000130718954248366	0	114	16	0	97	15	6.5359477124183e-05	0.000130718954248366	0	42	12	1.02124183006536e-05	8.16993464052288e-05	0	8.16993464052288e-05
330	0.000141806722689076	0.000294117647058824	0	93	10	0.000294117647058824	87	7	7.00280112044818e-05	0.000140056022408964	0	43	6	6.12745098039216e-05	0.000163398692810458	0	0
331	3.58981976629035e-05	0.00017825311942959	0	106	12	0	91	11	6.68449197860963e-05	0.00017825311942959	0	39	9	4.08496732026144e-05	0.000108932461873638	0	0
332	5.92320261437909e-05	0.000196078431372549	0	113	17	0	105	8	3.06372549019608e-05	0.000122549019607843	0	39	5	0.000147058823529412	0.000196078431372549	0	0
