x	Average_GainRate	All_Max_GainRate	All_Min_GainRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_GainRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_GainRate	Schmitz_Max_GainRate	Schmitz_Min_GainRate	InitialStateU_Becker	InitialStateM_Becker	Becker_GainRate	Becker_Max_GainRate	Becker_Min_GainRate	Line79_GainRate
23	1.86321852844513e-05	2.55476783547295e-05	9.37053435472158e-06	1842	920	2.55476783547295e-05	1776	1008	1.61466613672496e-05	2.15288818229995e-05	1.21444974386151e-05	837	422	1.42022161313749e-05	1.99123855037834e-05	9.37053435472158e-06	1.63984351207628e-05
24	1.54540596106208e-05	2.21141088014153e-05	9.47747520060656e-06	1952	1129	1.05472516875603e-05	1821	1238	1.843955594319e-05	2.20736290122859e-05	1.45362922763834e-05	931	530	1.7375371201112e-05	2.21141088014153e-05	9.47747520060656e-06	2.21141088014153e-05
25	1.79504639627758e-05	2.6361376817052e-05	1.25530365795486e-05	1695	1017	1.73520735727919e-05	1633	1106	1.86112411896786e-05	2.28137795228318e-05	1.26076149994597e-05	781	467	1.78880771258567e-05	2.6361376817052e-05	1.25530365795486e-05	2.13401621852326e-05
26	1.94001626880386e-05	3.66013071895425e-05	9.15032679738562e-06	1704	996	1.55343827671914e-05	1630	1101	2.24046673884278e-05	2.82689763021773e-05	1.50366895224347e-05	750	460	2.02614379084967e-05	3.66013071895425e-05	9.15032679738562e-06	3.26797385620915e-05
27	2.07350968293799e-05	3.11895702077225e-05	1.35154804233464e-05	1928	1157	2.1357090554064e-05	1823	1324	2.07049358415884e-05	2.31249932776182e-05	1.72092973228787e-05	943	554	2.01432640924875e-05	3.11895702077225e-05	1.35154804233464e-05	3.63878319090096e-05
28	1.69071203497597e-05	3.21001524757243e-05	1.21608005281262e-05	1693	987	1.21608005281262e-05	1643	1170	1.84979652238254e-05	2.26749251130763e-05	1.5514422445789e-05	733	444	2.00625952973277e-05	3.21001524757243e-05	1.33750635315518e-05	2.00625952973277e-05
29	2.38917564279264e-05	2.73756972247887e-05	1.46875229492546e-05	1719	1047	2.73756972247887e-05	1650	1120	2.27272727272727e-05	2.67379679144385e-05	1.54486036838978e-05	801	512	2.15722993317177e-05	2.69271254069668e-05	1.46875229492546e-05	3.05990061442804e-05
30	2.17508544858055e-05	2.75482093663912e-05	1.04544187343184e-05	1815	1170	2.75482093663912e-05	1692	1327	2.01351226069624e-05	2.14388355815139e-05	1.79622676493765e-05	844	569	1.75692314840628e-05	2.32320416318186e-05	1.04544187343184e-05	1.97472353870458e-05
31	1.74578392917206e-05	3.48703092728199e-05	9.38816018883614e-06	1654	1006	1.42257628565332e-05	1495	1150	1.8197914617352e-05	2.16407633287429e-05	1.44271755524952e-05	731	489	1.99498404012768e-05	3.48703092728199e-05	9.38816018883614e-06	3.0846812049033e-05
32	2.40386923523169e-05	3.83689238178402e-05	1.45537297240084e-05	1588	1127	2.59297673729441e-05	1558	1199	2.17095824209016e-05	3.0833899670266e-05	1.69901079815752e-05	741	496	2.4476727263105e-05	3.83689238178402e-05	1.45537297240084e-05	2.24921277552857e-05
