x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
631	1.36165577342048e-05	0.000163398692810458	0	0	6	0	1	1	0	0	0	4	12	4.08496732026144e-05	0.000163398692810458	0	8.16993464052288e-05
632	1.90631808278867e-05	0.000196078431372549	0	0	9	0	0	5	4.90196078431373e-05	0.000196078431372549	0	7	15	8.16993464052288e-06	6.5359477124183e-05	0	0
633	6.8082788671024e-06	8.16993464052288e-05	0	0	1	0	0	4	0	0	0	5	12	2.04248366013072e-05	8.16993464052288e-05	0	8.16993464052288e-05
634	1.53186274509804e-05	0.000122549019607843	0	0	5	0	2	2	0	0	0	2	8	4.59558823529412e-05	0.000122549019607843	0	0.000245098039215686
635	NA	NA	NA	0	3	0	0	0	NA	NA	NA	6	10	6.12745098039216e-05	0.000196078431372549	0	0
636	4.08496732026144e-06	9.80392156862745e-05	0	0	3	0	1	2	0	0	0	4	10	1.22549019607843e-05	9.80392156862745e-05	0	9.80392156862745e-05
637	4.59558823529412e-05	0.000490196078431373	0	1	3	0	3	2	0.000122549019607843	0.000490196078431373	0	5	8	1.53186274509804e-05	0.000122549019607843	0	0
638	5.83566760037348e-06	0.000140056022408964	0	3	1	0	4	3	0	0	0	3	7	1.75070028011204e-05	0.000140056022408964	0	0
639	0	0	0	1	2	0	1	2	0	0	0	4	3	0	0	0	0.000326797385620915
640	1.36165577342048e-05	0.000163398692810458	0	1	2	0	1	2	0	0	0	4	12	4.08496732026144e-05	0.000163398692810458	0	8.16993464052288e-05
641	0	0	0	1	1	0	0	5	0	0	0	1	7	0	0	0	0.000140056022408964
642	NA	NA	NA	0	0	NA	0	1	0	0	0	3	6	4.08496732026144e-05	0.000163398692810458	0	0.000163398692810458
643	NA	NA	NA	0	0	NA	1	3	0	0	0	1	11	3.34224598930481e-05	8.9126559714795e-05	0	0
644	3.71360665478313e-06	8.9126559714795e-05	0	0	1	0	0	2	0	0	0	7	11	1.11408199643494e-05	8.9126559714795e-05	0	0
645	3.61362493715435e-05	0.000245098039215686	0	0	6	0	0	4	6.12745098039216e-05	0.000245098039215686	0	0	13	4.71342383107089e-05	0.000150829562594268	0	0.000150829562594268
646	NA	NA	NA	2	4	0	1	0	NA	NA	NA	5	14	2.62605042016807e-05	7.00280112044818e-05	0	0
647	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	5	14	3.50140056022409e-05	7.00280112044818e-05	0	7.00280112044818e-05
648	7.42721330956625e-06	8.9126559714795e-05	0	0	4	0	1	2	0	0	0	7	11	2.22816399286988e-05	8.9126559714795e-05	0	0
649	4.53885257806826e-06	0.000108932461873638	0	0	5	0	1	2	0	0	0	0	9	1.36165577342048e-05	0.000108932461873638	0	0.000108932461873638
650	1.48544266191325e-05	8.9126559714795e-05	0	0	1	0	2	1	0	0	0	3	11	4.45632798573975e-05	8.9126559714795e-05	0	8.9126559714795e-05
651	NA	NA	NA	1	3	0	1	0	NA	NA	NA	8	4	3.06372549019608e-05	0.000245098039215686	0	0
652	1.36165577342048e-05	0.000163398692810458	0	0	4	0	0	2	0	0	0	3	6	4.08496732026144e-05	0.000163398692810458	0	0
653	0	0	0	4	2	0	1	2	0	0	0	3	9	0	0	0	0
654	1.02124183006536e-05	0.000122549019607843	0	2	2	0	0	2	0	0	0	4	16	3.06372549019608e-05	0.000122549019607843	0	0
655	4.71342383107089e-05	0.000490196078431373	0	0	2	0	0	2	0.000122549019607843	0.000490196078431373	0	6	13	1.88536953242836e-05	7.54147812971342e-05	0	7.54147812971342e-05
656	2.65522875816993e-05	0.000196078431372549	0	0	3	0	0	8	3.06372549019608e-05	0.000122549019607843	0	4	5	4.90196078431373e-05	0.000196078431372549	0	0
657	3.71360665478313e-06	8.9126559714795e-05	0	0	1	0	0	4	0	0	0	11	11	1.11408199643494e-05	8.9126559714795e-05	0	0
658	3.71360665478313e-06	8.9126559714795e-05	0	1	2	0	0	4	0	0	0	3	11	1.11408199643494e-05	8.9126559714795e-05	0	8.9126559714795e-05
659	8.16993464052288e-06	0.000196078431372549	0	0	2	0	0	1	0	0	0	5	5	2.45098039215686e-05	0.000196078431372549	0	0
660	0	0	0	1	2	0	0	3	0	0	0	3	11	0	0	0	0
661	NA	NA	NA	1	2	0	1	0	NA	NA	NA	5	7	1.75070028011204e-05	0.000140056022408964	0	0
662	3.50140056022409e-05	0.000280112044817927	0	0	5	0	0	3	0	0	0	2	7	0.000105042016806723	0.000280112044817927	0	0
663	2.04248366013072e-05	0.000245098039215686	0	0	6	0	2	4	6.12745098039216e-05	0.000245098039215686	0	3	6	0	0	0	0
664	5.44662309368192e-05	0.000490196078431373	0	0	3	0	0	2	0.000122549019607843	0.000490196078431373	0	6	3	4.08496732026144e-05	0.000326797385620915	0	0
665	5.83566760037348e-06	0.000140056022408964	0	1	2	0	2	1	0	0	0	13	7	1.75070028011204e-05	0.000140056022408964	0	0.000140056022408964
666	6.12745098039216e-05	0.000490196078431373	0	0	1	0	1	2	0.000122549019607843	0.000490196078431373	0	4	6	6.12745098039216e-05	0.000163398692810458	0	0
667	5.83566760037348e-06	0.000140056022408964	0	1	3	0	2	3	0	0	0	3	7	1.75070028011204e-05	0.000140056022408964	0	0.000140056022408964
668	2.72331154684096e-05	0.000326797385620915	0	1	3	0	1	3	0	0	0	1	3	8.16993464052288e-05	0.000326797385620915	0	0
669	2.5531045751634e-05	0.000245098039215686	0	0	3	0	0	4	6.12745098039216e-05	0.000245098039215686	0	3	16	1.53186274509804e-05	6.12745098039216e-05	0	6.12745098039216e-05
670	0	0	0	0	2	0	0	1	0	0	0	7	5	0	0	0	0
671	0	0	0	0	3	0	0	3	0	0	0	4	7	0	0	0	0.000140056022408964
672	0	0	0	1	2	0	1	3	0	0	0	3	9	0	0	0	0
673	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	3	6	0	0	0	0
674	NA	NA	NA	0	0	NA	0	2	0	0	0	6	9	4.08496732026144e-05	0.000217864923747277	0	0
675	6.8082788671024e-06	8.16993464052288e-05	0	0	2	0	2	2	0	0	0	4	12	2.04248366013072e-05	8.16993464052288e-05	0	8.16993464052288e-05
676	0	0	0	0	2	0	0	4	0	0	0	2	9	0	0	0	0
677	3.26797385620915e-05	0.000196078431372549	0	2	1	0	1	1	0	0	0	3	5	9.80392156862745e-05	0.000196078431372549	0	0
678	1.1671335200747e-05	0.000140056022408964	0	1	1	0	1	1	0	0	0	6	7	3.50140056022409e-05	0.000140056022408964	0	0.000140056022408964
679	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	6	6	6.12745098039216e-05	0.000163398692810458	0	0.000163398692810458
680	1.75070028011204e-05	0.000280112044817927	0	1	1	0	2	1	0	0	0	2	7	5.25210084033613e-05	0.000280112044817927	0	0
681	1.02124183006536e-05	0.000122549019607843	0	1	3	0	2	1	0	0	0	1	8	3.06372549019608e-05	0.000122549019607843	0	0
682	3.06372549019608e-05	0.000122549019607843	0	1	3	0	1	1	0	0	0	1	8	9.19117647058824e-05	0.000122549019607843	0	0
683	1.1671335200747e-05	0.000140056022408964	0	1	6	0	0	1	0	0	0	4	7	3.50140056022409e-05	0.000140056022408964	0	0
684	1.63398692810458e-05	0.000196078431372549	0	0	2	0	0	1	0	0	0	3	5	4.90196078431373e-05	0.000196078431372549	0	0
685	NA	NA	NA	0	0	NA	0	2	0.000122549019607843	0.000490196078431373	0	5	10	1.22549019607843e-05	9.80392156862745e-05	0	0
686	0	0	0	1	2	0	1	1	0	0	0	5	7	0	0	0	0.000140056022408964
687	5.83566760037348e-06	0.000140056022408964	0	2	2	0	2	2	0	0	0	5	7	1.75070028011204e-05	0.000140056022408964	0	0.000140056022408964
688	1.36165577342048e-05	0.000163398692810458	0	1	1	0	0	1	0	0	0	5	6	4.08496732026144e-05	0.000163398692810458	0	0
689	NA	NA	NA	1	0	NA	1	3	0	0	0	7	9	2.72331154684096e-05	0.000108932461873638	0	0
690	5.1062091503268e-06	0.000122549019607843	0	0	2	0	1	2	0	0	0	5	8	1.53186274509804e-05	0.000122549019607843	0	0
691	1.1671335200747e-05	0.000280112044817927	0	0	2	0	1	1	0	0	0	3	7	3.50140056022409e-05	0.000280112044817927	0	0
692	NA	NA	NA	0	2	0	0	0	NA	NA	NA	6	5	0	0	0	0
693	5.1062091503268e-06	0.000122549019607843	0	0	1	0	0	2	0	0	0	3	8	1.53186274509804e-05	0.000122549019607843	0	0.000122549019607843
694	5.83566760037348e-06	0.000140056022408964	0	1	1	0	2	2	0	0	0	5	7	1.75070028011204e-05	0.000140056022408964	0	0
695	5.83566760037348e-06	0.000140056022408964	0	0	1	0	0	1	0	0	0	3	7	1.75070028011204e-05	0.000140056022408964	0	0.000140056022408964
696	2.72331154684096e-05	0.000326797385620915	0	2	1	0	2	2	0	0	0	1	6	8.16993464052288e-05	0.000326797385620915	0	0.000326797385620915
697	0	0	0	2	1	0	1	2	0	0	0	5	2	0	0	0	0
698	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	5	8	6.12745098039216e-05	0.000122549019607843	0	0
