x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
265	9.26069258112602e-05	0.000204248366013072	0	456	25	0.000117647058823529	512	24	0.000102124183006536	0.000204248366013072	4.08496732026144e-05	201	19	5.80495356037152e-05	0.000154798761609907	0	0.000103199174406605
266	6.30428939252469e-05	0.000133689839572193	0	422	22	0.000133689839572193	463	21	3.50140056022409e-05	4.66853408029879e-05	0	181	12	2.04248366013072e-05	8.16993464052288e-05	0	0
267	7.83699059561129e-05	0.00017825311942959	0	461	29	0.000101419878296146	499	22	0.000100267379679144	0.00017825311942959	4.45632798573975e-05	184	11	3.34224598930481e-05	8.9126559714795e-05	0	0
268	1.49782135076253e-05	9.80392156862745e-05	0	497	21	0	536	15	3.26797385620915e-05	6.5359477124183e-05	0	189	10	1.22549019607843e-05	9.80392156862745e-05	0	9.80392156862745e-05
269	4.89121087031304e-05	0.000257997936016512	0	466	21	0	512	19	0.00011609907120743	0.000257997936016512	0	178	8	3.06372549019608e-05	0.000122549019607843	0	0.000245098039215686
270	4.54838798264404e-05	0.000210084033613445	0	515	21	0	532	17	5.76701268742791e-05	0.000115340253748558	0	190	14	7.8781512605042e-05	0.000210084033613445	0	0.000210084033613445
271	1.71264157837048e-05	0.000170502983802217	0	431	27	0	480	23	4.26257459505541e-05	0.000170502983802217	0	180	14	8.75350140056022e-06	7.00280112044818e-05	0	0.000210084033613445
272	7.33348895113601e-05	0.000261437908496732	0	455	26	0	510	28	0.000113795518207283	0.000210084033613445	0	170	15	0.000106209150326797	0.000261437908496732	0	6.5359477124183e-05
273	4.90196078431373e-05	0.000326797385620915	0	467	16	0	533	10	2.45098039215686e-05	9.80392156862745e-05	0	196	6	0.000122549019607843	0.000326797385620915	0	0
274	8.16993464052288e-06	4.90196078431373e-05	0	417	14	0	506	20	2.45098039215686e-05	4.90196078431373e-05	0	170	8	0	0	0	0
275	8.51034858387799e-05	0.000326797385620915	0	488	16	0	499	16	0.000153186274509804	0.000306372549019608	6.12745098039216e-05	148	6	0.000102124183006536	0.000326797385620915	0	0.000326797385620915
276	3.81263616557734e-05	0.000196078431372549	0	480	11	0	512	15	6.5359477124183e-05	0.000196078431372549	0	178	10	4.90196078431373e-05	0.000196078431372549	0	0
